PLAYER , TEAM , AGE , GP , G , FREQ , FGM , FGA , FG% , EFG% , 2FG FREQ , 2FGM , 2FGA , 2FG% , 3FG FREQ , 3PM , 3PA , 3P% , --------------------------------------------------------------
Olivier-Maxence Prosper,DAL,21,4,4,100,0.8,2.0,37.5,43.8,50.0,0.5,1.0,50.0,50.0,0.3,1.0,25.0,--------------------------------------------------------------
Vince Williams Jr.,MEM,23,4,3,100,0.5,2.0,25.0,31.3,12.5,0.3,0.3,100,87.5,0.3,1.8,14.3,--------------------------------------------------------------
Jett Howard,ORL,20,4,4,100,0.3,2.0,12.5,12.5,25.0,0.3,0.5,50.0,75.0,0.0,1.5,0.0,--------------------------------------------------------------
Jalen Pickett,DEN,24,4,4,100,1.3,1.8,71.4,85.7,42.9,0.8,0.8,100,57.1,0.5,1.0,50.0,--------------------------------------------------------------
Ish Smith,CHA,35,4,2,100,0.8,1.8,42.9,42.9,100,0.8,1.8,42.9,0.0,0.0,0.0,-,--------------------------------------------------------------
Sam Merrill,CLE,27,4,3,100,0.5,1.8,28.6,42.9,14.3,0.0,0.3,0.0,85.7,0.5,1.5,33.3,--------------------------------------------------------------
DaQuan Jeffries,NYK,26,4,4,100,0.8,1.3,60.0,70.0,40.0,0.5,0.5,100,60.0,0.3,0.8,33.3,--------------------------------------------------------------
Dominick Barlow,SAS,20,4,2,100,0.5,1.3,40.0,40.0,100,0.5,1.3,40.0,0.0,0.0,0.0,-,--------------------------------------------------------------
Jordan Ford,SAC,25,4,3,100,0.5,1.3,40.0,50.0,60.0,0.3,0.8,33.3,40.0,0.3,0.5,50.0,--------------------------------------------------------------
Aleksej Pokusevski,OKC,21,4,4,100,0.0,1.3,0.0,0.0,0.0,0.0,0.0,-,100,0.0,1.3,0.0,--------------------------------------------------------------
Chimezie Metu,PHX,26,4,3,100,0.3,1.0,25.0,25.0,50.0,0.3,0.5,50.0,50.0,0.0,0.5,0.0,--------------------------------------------------------------
Braxton Key,DEN,26,4,2,100,0.3,1.0,25.0,25.0,75.0,0.3,0.8,33.3,25.0,0.0,0.3,0.0,--------------------------------------------------------------
Chuma Okeke,ORL,25,4,3,100,0.3,0.8,33.3,33.3,33.3,0.3,0.3,100,66.7,0.0,0.5,0.0,--------------------------------------------------------------
Maxwell Lewis,LAL,21,4,2,100,0.0,0.8,0.0,0.0,100,0.0,0.8,0.0,0.0,0.0,0.0,-,--------------------------------------------------------------
Mo Bamba,PHI,25,4,1,100,0.0,0.5,0.0,0.0,100,0.0,0.5,0.0,0.0,0.0,0.0,-,--------------------------------------------------------------
Olivier Sarr,OKC,24,4,1,100,0.3,0.3,100,100,100,0.3,0.3,100,0.0,0.0,0.0,-,--------------------------------------------------------------
Kris Murray,POR,23,4,1,100,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-,100,0.0,0.3,0.0,--------------------------------------------------------------
Bradley Beal,PHX,30,3,3,100,6.0,15.7,38.3,43.6,68.1,4.3,10.7,40.6,31.9,1.7,5.0,33.4,--------------------------------------------------------------
Nic Claxton,BKN,24,3,3,100,3.7,7.3,50.0,50.0,100,3.7,7.3,50.1,0.0,0.0,0.0,-,--------------------------------------------------------------
Tari Eason,HOU,22,3,3,100,2.7,7.3,36.4,43.2,68.2,1.7,5.0,33.4,31.8,1.0,2.3,42.9,--------------------------------------------------------------
Jordan Nwora,IND,25,3,3,100,2.0,6.0,33.3,38.9,55.6,1.3,3.3,39.9,44.4,0.7,2.7,25.1,--------------------------------------------------------------
Armoni Brooks,BKN,25,3,2,100,2.0,4.0,50.0,70.8,25.0,0.3,1.0,33.0,75.0,1.7,3.0,55.7,--------------------------------------------------------------
Ben Sheppard,IND,22,3,3,100,1.7,4.0,41.7,54.2,33.3,0.7,1.3,50.4,66.7,1.0,2.7,37.5,--------------------------------------------------------------
Jarace Walker,IND,20,3,3,100,1.3,4.0,33.3,33.3,83.3,1.3,3.3,39.9,16.7,0.0,0.7,0.0,--------------------------------------------------------------
Boban Marjanovic,HOU,35,3,3,100,1.7,3.0,55.6,55.6,88.9,1.7,2.7,62.5,11.1,0.0,0.3,0.0,--------------------------------------------------------------
Jamal Cain,MIA,24,3,2,100,1.3,3.0,44.4,44.4,55.6,1.3,1.7,79.6,44.4,0.0,1.3,0.0,--------------------------------------------------------------
Emoni Bates,CLE,19,3,2,100,1.0,3.0,33.3,44.4,33.3,0.3,1.0,33.0,66.7,0.7,2.0,33.5,--------------------------------------------------------------
Cam Whitmore,HOU,19,3,2,100,1.0,3.0,33.3,33.3,66.7,1.0,2.0,50.0,33.3,0.0,1.0,0.0,--------------------------------------------------------------
Blake Wesley,SAS,20,3,3,100,1.0,2.7,37.5,37.5,87.5,1.0,2.3,42.9,12.5,0.0,0.3,0.0,--------------------------------------------------------------
Lamar Stevens,BOS,26,3,3,100,1.3,2.3,57.1,64.3,85.7,1.0,2.0,50.0,14.3,0.3,0.3,100,--------------------------------------------------------------
Saben Lee,PHX,24,3,3,100,1.0,2.0,50.0,50.0,83.3,1.0,1.7,59.9,16.7,0.0,0.3,0.0,--------------------------------------------------------------
Dalen Terry,CHI,21,3,3,100,0.7,2.0,33.3,41.7,50.0,0.3,1.0,33.0,50.0,0.3,1.0,33.0,--------------------------------------------------------------
Marcus Morris Sr.,PHI,34,3,2,100,0.7,2.0,33.3,33.3,66.7,0.7,1.3,50.4,33.3,0.0,0.7,0.0,--------------------------------------------------------------
Leaky Black,CHA,24,3,3,100,0.7,1.7,40.0,50.0,60.0,0.3,1.0,33.0,40.0,0.3,0.7,49.3,--------------------------------------------------------------
Sandro Mamukelashvili,SAS,24,3,2,100,0.7,1.7,40.0,40.0,40.0,0.7,0.7,100,60.0,0.0,1.0,0.0,--------------------------------------------------------------
Davis Bertans,OKC,31,3,2,100,0.3,1.7,20.0,30.0,0.0,0.0,0.0,-,100,0.3,1.7,19.8,--------------------------------------------------------------
E.J. Liddell,NOP,22,3,2,100,0.3,1.3,25.0,25.0,25.0,0.3,0.3,100,75.0,0.0,1.0,0.0,--------------------------------------------------------------
Garrett Temple,TOR,37,3,2,100,0.7,1.0,66.7,66.7,100,0.7,1.0,67.0,0.0,0.0,0.0,-,--------------------------------------------------------------
Jermaine Samuels Jr.,HOU,25,3,2,100,0.7,1.0,66.7,66.7,66.7,0.7,0.7,100,33.3,0.0,0.3,0.0,--------------------------------------------------------------
Garrison Mathews,ATL,27,3,2,100,0.3,1.0,33.3,50.0,0.0,0.0,0.0,-,100,0.3,1.0,33.0,--------------------------------------------------------------
Rayan Rupert,POR,19,3,2,100,0.0,1.0,0.0,0.0,66.7,0.0,0.7,0.0,33.3,0.0,0.3,0.0,--------------------------------------------------------------
Dylan Windler,NYK,27,3,2,100,0.3,0.7,50.0,75.0,0.0,0.0,0.0,-,100,0.3,0.7,49.3,--------------------------------------------------------------
Thanasis Antetokounmpo,MIL,31,3,2,100,0.3,0.7,50.0,50.0,100,0.3,0.7,49.3,0.0,0.0,0.0,-,--------------------------------------------------------------
Hunter Tyson,DEN,23,3,1,100,0.3,0.7,50.0,50.0,50.0,0.3,0.3,100,50.0,0.0,0.3,0.0,--------------------------------------------------------------
Justin Holiday,DEN,34,3,1,100,0.3,0.7,50.0,75.0,0.0,0.0,0.0,-,100,0.3,0.7,49.3,--------------------------------------------------------------
Bol Bol,PHX,24,3,1,100,0.3,0.3,100,100,100,0.3,0.3,100,0.0,0.0,0.0,-,--------------------------------------------------------------
Daishen Nix,MIN,21,3,1,100,0.3,0.3,100,100,100,0.3,0.3,100,0.0,0.0,0.0,-,--------------------------------------------------------------
Ryan Arcidiacono,NYK,29,3,1,100,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-,100,0.0,0.3,0.0,--------------------------------------------------------------
Julian Phillips,CHI,20,3,1,100,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-,100,0.0,0.3,0.0,--------------------------------------------------------------
Devin Booker,PHX,27,2,2,100,11.5,20.0,57.5,67.5,62.5,7.5,12.5,60.0,37.5,4.0,7.5,53.3,--------------------------------------------------------------
Kevin Knox II,DET,24,2,2,100,6.0,8.0,75.0,93.8,43.8,3.0,3.5,85.7,56.3,3.0,4.5,66.7,--------------------------------------------------------------
Duop Reath,POR,27,2,2,100,2.0,7.0,28.6,39.3,21.4,0.5,1.5,33.3,78.6,1.5,5.5,27.3,--------------------------------------------------------------
Naji Marshall,NOP,25,2,2,100,3.5,6.0,58.3,66.7,58.3,2.5,3.5,71.4,41.7,1.0,2.5,40.0,--------------------------------------------------------------
Jamaree Bouyea,POR,24,2,2,100,1.5,5.5,27.3,27.3,72.7,1.5,4.0,37.5,27.3,0.0,1.5,0.0,--------------------------------------------------------------
Orlando Robinson,MIA,23,2,2,100,2.0,4.5,44.4,50.0,88.9,1.5,4.0,37.5,11.1,0.5,0.5,100,--------------------------------------------------------------
Nikola Jovic,MIA,20,2,2,100,2.0,4.0,50.0,68.8,37.5,0.5,1.5,33.3,62.5,1.5,2.5,60.0,--------------------------------------------------------------
Nate Williams,HOU,24,2,2,100,2.0,3.5,57.1,57.1,71.4,2.0,2.5,80.0,28.6,0.0,1.0,0.0,--------------------------------------------------------------
Richaun Holmes,DAL,30,2,2,100,2.0,3.5,57.1,57.1,100,2.0,3.5,57.1,0.0,0.0,0.0,-,--------------------------------------------------------------
Luka Garza,MIN,24,2,2,100,1.5,2.5,60.0,60.0,100,1.5,2.5,60.0,0.0,0.0,0.0,-,--------------------------------------------------------------
Devonte' Graham,SAS,28,2,2,100,0.5,2.5,20.0,20.0,40.0,0.5,1.0,50.0,60.0,0.0,1.5,0.0,--------------------------------------------------------------
D'Moi Hodge,LAL,24,2,2,100,0.5,2.5,20.0,20.0,20.0,0.5,0.5,100,80.0,0.0,2.0,0.0,--------------------------------------------------------------
Colin Castleton,LAL,23,2,2,100,1.0,2.0,50.0,50.0,100,1.0,2.0,50.0,0.0,0.0,0.0,-,--------------------------------------------------------------
Ty Jerome,CLE,26,2,2,100,1.0,2.0,50.0,50.0,75.0,1.0,1.5,66.7,25.0,0.0,0.5,0.0,--------------------------------------------------------------
Nate Hinton,HOU,24,2,1,100,1.0,2.0,50.0,75.0,50.0,0.0,1.0,0.0,50.0,1.0,1.0,100,--------------------------------------------------------------
Jared Butler,WAS,23,2,2,100,0.5,2.0,25.0,37.5,25.0,0.0,0.5,0.0,75.0,0.5,1.5,33.3,--------------------------------------------------------------
Jordan Miller,LAC,23,2,2,100,1.0,1.5,66.7,83.3,66.7,0.5,1.0,50.0,33.3,0.5,0.5,100,--------------------------------------------------------------
Thaddeus Young,TOR,35,2,1,100,1.0,1.5,66.7,66.7,100,1.0,1.5,66.7,0.0,0.0,0.0,-,--------------------------------------------------------------
Kobe Bufkin,ATL,20,2,2,100,0.0,1.5,0.0,0.0,66.7,0.0,1.0,0.0,33.3,0.0,0.5,0.0,--------------------------------------------------------------
Chris Livingston,MIL,20,2,1,100,1.0,1.0,100,125.0,50.0,0.5,0.5,100,50.0,0.5,0.5,100,--------------------------------------------------------------
Danny Green,PHI,36,2,2,100,0.0,1.0,0.0,0.0,50.0,0.0,0.5,0.0,50.0,0.0,0.5,0.0,--------------------------------------------------------------
Patrick Baldwin Jr.,WAS,20,2,2,100,0.0,1.0,0.0,0.0,50.0,0.0,0.5,0.0,50.0,0.0,0.5,0.0,--------------------------------------------------------------
Udoka Azubuike,PHX,24,2,1,100,0.5,0.5,100,100,100,0.5,0.5,100,0.0,0.0,0.0,-,--------------------------------------------------------------
Jalen Wilson,BKN,23,2,1,100,0.0,0.5,0.0,0.0,100,0.0,0.5,0.0,0.0,0.0,0.0,-,--------------------------------------------------------------
Mouhamed Gueye,ATL,21,2,1,100,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-,100,0.0,0.5,0.0,--------------------------------------------------------------
Bruno Fernando,ATL,25,2,1,100,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-,100,0.0,0.5,0.0,--------------------------------------------------------------
Trent Forrest,ATL,25,2,1,100,0.0,0.5,0.0,0.0,100,0.0,0.5,0.0,0.0,0.0,0.0,-,--------------------------------------------------------------
Anfernee Simons,POR,24,1,1,100,6.0,14.0,42.9,50.0,57.1,4.0,8.0,50.0,42.9,2.0,6.0,33.3,--------------------------------------------------------------
Kenrich Williams,OKC,28,1,1,100,4.0,7.0,57.1,64.3,57.1,3.0,4.0,75.0,42.9,1.0,3.0,33.3,--------------------------------------------------------------
Caleb Martin,MIA,28,1,1,100,1.0,7.0,14.3,14.3,57.1,1.0,4.0,25.0,42.9,0.0,3.0,0.0,--------------------------------------------------------------
Admiral Schofield,ORL,26,1,1,100,2.0,4.0,50.0,62.5,25.0,1.0,1.0,100,75.0,1.0,3.0,33.3,--------------------------------------------------------------
Daniel Theis,IND,31,1,1,100,1.0,4.0,25.0,25.0,75.0,1.0,3.0,33.3,25.0,0.0,1.0,0.0,--------------------------------------------------------------
Kaiser Gates,NOP,27,1,1,100,0.0,4.0,0.0,0.0,50.0,0.0,2.0,0.0,50.0,0.0,2.0,0.0,--------------------------------------------------------------
Harry Giles III,BKN,25,1,1,100,3.0,3.0,100,116.7,66.7,2.0,2.0,100,33.3,1.0,1.0,100,--------------------------------------------------------------
Lester Quinones,GSW,22,1,1,100,2.0,3.0,66.7,83.3,33.3,1.0,1.0,100,66.7,1.0,2.0,50.0,--------------------------------------------------------------
Amari Bailey,CHA,19,1,1,100,1.0,3.0,33.3,33.3,100,1.0,3.0,33.3,0.0,0.0,0.0,-,--------------------------------------------------------------
Wesley Matthews,ATL,37,1,1,100,2.0,2.0,100,150.0,0.0,0.0,0.0,-,100,2.0,2.0,100,--------------------------------------------------------------
TyTy Washington Jr.,MIL,22,1,1,100,1.0,2.0,50.0,75.0,50.0,0.0,1.0,0.0,50.0,1.0,1.0,100,--------------------------------------------------------------
Brice Sensabaugh,UTA,20,1,1,100,0.0,2.0,0.0,0.0,100,0.0,2.0,0.0,0.0,0.0,0.0,-,--------------------------------------------------------------
Markieff Morris,DAL,34,1,1,100,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-,100,0.0,2.0,0.0,--------------------------------------------------------------
Jerome Robinson,GSW,26,1,1,100,0.0,2.0,0.0,0.0,100,0.0,2.0,0.0,0.0,0.0,0.0,-,--------------------------------------------------------------
Keyontae Johnson,OKC,23,1,1,100,0.0,1.0,0.0,0.0,100,0.0,1.0,0.0,0.0,0.0,0.0,-,--------------------------------------------------------------
Leonard Miller,MIN,19,1,1,100,0.0,1.0,0.0,0.0,100,0.0,1.0,0.0,0.0,0.0,0.0,-,--------------------------------------------------------------
Ish Wainright,POR,29,1,1,100,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-,100,0.0,1.0,0.0,--------------------------------------------------------------
Alex Fudge,LAL,20,1,1,100,0.0,1.0,0.0,0.0,100,0.0,1.0,0.0,0.0,0.0,0.0,-,--------------------------------------------------------------
R.J. Hampton,MIA,22,1,1,100,0.0,1.0,0.0,0.0,100,0.0,1.0,0.0,0.0,0.0,0.0,-,--------------------------------------------------------------
