PLAYER , TEAM , AGE , GP , G , FREQ , FGM , FGA , FG% , EFG% , 2FG FREQ , 2FGM , 2FGA , 2FG% , 3FG FREQ , 3PM , 3PA , 3P% , --------------------------------------------------------------
Malcolm Brogdon,POR,30,7,7,100,6.7,16.9,39.8,46.2,61.9,4.6,10.4,43.8,38.1,2.1,6.4,33.3,--------------------------------------------------------------
RJ Barrett,NYK,23,7,7,100,7.9,16.1,48.7,57.5,64.6,5.0,10.4,47.9,35.4,2.9,5.7,50.1,--------------------------------------------------------------
OG Anunoby,TOR,26,7,7,100,5.9,11.6,50.6,62.3,40.7,3.1,4.7,66.7,59.3,2.7,6.9,39.5,--------------------------------------------------------------
Gary Trent Jr.,TOR,24,7,7,100,3.4,10.1,33.8,41.5,52.1,1.9,5.3,35.2,47.9,1.6,4.9,32.3,--------------------------------------------------------------
Xavier Tillman,MEM,24,7,7,100,3.9,9.1,42.2,47.7,68.8,2.9,6.3,45.5,31.3,1.0,2.9,35.0,--------------------------------------------------------------
Rui Hachimura,LAL,25,7,7,100,5.0,8.4,59.3,67.8,64.4,3.6,5.4,65.7,35.6,1.4,3.0,47.7,--------------------------------------------------------------
Haywood Highsmith,MIA,26,7,7,100,3.0,6.7,44.7,55.3,38.3,1.6,2.6,61.1,61.7,1.4,4.1,34.5,--------------------------------------------------------------
Keita Bates-Diop,PHX,27,7,7,100,2.6,6.0,42.9,50.0,57.1,1.7,3.4,49.9,42.9,0.9,2.6,33.5,--------------------------------------------------------------
Davion Mitchell,SAC,25,7,7,100,1.9,6.0,31.0,39.3,38.1,0.9,2.3,37.6,61.9,1.0,3.7,27.0,--------------------------------------------------------------
T.J. McConnell,IND,31,7,7,100,3.1,5.3,59.5,59.5,91.9,3.1,4.9,64.6,8.1,0.0,0.4,0.0,--------------------------------------------------------------
JaVale McGee,SAC,35,7,7,100,3.1,5.0,62.9,62.9,97.1,3.1,4.9,64.6,2.9,0.0,0.1,0.0,--------------------------------------------------------------
Aaron Holiday,HOU,27,7,7,100,2.0,4.9,41.2,48.5,55.9,1.3,2.7,47.6,44.1,0.7,2.1,33.2,--------------------------------------------------------------
Dru Smith,MIA,25,7,6,100,2.1,4.6,46.9,57.8,50.0,1.1,2.3,49.8,50.0,1.0,2.3,43.7,--------------------------------------------------------------
Chris Boucher,TOR,30,7,7,100,2.0,4.6,43.8,48.4,68.8,1.6,3.1,50.0,31.3,0.4,1.4,30.1,--------------------------------------------------------------
Jonathan Isaac,ORL,26,7,7,100,1.4,4.6,31.3,39.1,37.5,0.7,1.7,41.5,62.5,0.7,2.9,24.8,--------------------------------------------------------------
Max Christie,LAL,20,7,6,100,1.3,4.0,32.1,35.7,60.7,1.0,2.4,41.2,39.3,0.3,1.6,18.5,--------------------------------------------------------------
Anthony Black,ORL,19,7,6,100,2.1,3.7,57.7,65.4,57.7,1.6,2.1,73.4,42.3,0.6,1.6,36.3,--------------------------------------------------------------
Goga Bitadze,ORL,24,7,5,100,2.1,3.6,60.0,60.0,88.0,2.1,3.1,68.2,12.0,0.0,0.4,0.0,--------------------------------------------------------------
Joe Harris,DET,32,7,7,100,1.3,3.6,36.0,48.0,24.0,0.4,0.9,50.0,76.0,0.9,2.7,31.7,--------------------------------------------------------------
Nicolas Batum,PHI,34,7,6,100,1.9,3.3,56.5,78.3,13.0,0.4,0.4,100,87.0,1.4,2.9,50.0,--------------------------------------------------------------
Kenneth Lofton Jr.,MEM,21,7,6,100,1.0,2.6,38.9,44.4,72.2,0.7,1.9,38.2,27.8,0.3,0.7,40.8,--------------------------------------------------------------
Jock Landale,HOU,28,7,6,100,0.7,2.6,27.8,33.3,50.0,0.4,1.3,33.3,50.0,0.3,1.3,22.5,--------------------------------------------------------------
Miles McBride,NYK,23,7,6,100,0.6,1.6,36.4,45.5,18.2,0.3,0.3,100,81.8,0.3,1.3,22.5,--------------------------------------------------------------
Omer Yurtseven,UTA,25,7,5,100,1.0,1.4,70.0,75.0,70.0,0.9,1.0,86.0,30.0,0.1,0.4,32.6,--------------------------------------------------------------
Troy Brown Jr.,MIN,24,7,5,100,0.4,1.4,30.0,30.0,50.0,0.4,0.7,60.6,50.0,0.0,0.7,0.0,--------------------------------------------------------------
CJ McCollum,NOP,32,6,6,100,7.3,16.7,44.0,53.5,50.0,4.2,8.3,50.1,50.0,3.2,8.3,38.1,--------------------------------------------------------------
Jamal Murray,DEN,26,6,6,100,6.8,15.7,43.6,51.1,66.0,4.5,10.3,43.6,34.0,2.3,5.3,43.7,--------------------------------------------------------------
Darius Garland,CLE,23,6,6,100,5.8,13.0,44.9,50.0,64.1,4.5,8.3,54.0,35.9,1.3,4.7,28.5,--------------------------------------------------------------
Alec Burks,DET,32,6,6,100,4.0,9.7,41.4,58.6,29.3,0.7,2.8,23.7,70.7,3.3,6.8,48.8,--------------------------------------------------------------
Isaac Okoro,CLE,22,6,6,100,3.5,7.2,48.8,55.8,65.1,2.5,4.7,53.5,34.9,1.0,2.5,40.0,--------------------------------------------------------------
Kevin Love,MIA,35,6,6,100,2.2,6.5,33.3,44.9,23.1,0.7,1.5,44.7,76.9,1.5,5.0,30.0,--------------------------------------------------------------
Ben Simmons,BKN,27,6,6,100,3.2,6.0,52.8,52.8,100,3.2,6.0,52.8,0.0,0.0,0.0,-,--------------------------------------------------------------
Landry Shamet,WAS,26,6,6,100,2.8,5.8,48.6,61.4,31.4,1.3,1.8,72.7,68.6,1.5,4.0,37.5,--------------------------------------------------------------
Julian Strawther,DEN,21,6,6,100,2.5,5.5,45.5,57.6,33.3,1.2,1.8,63.9,66.7,1.3,3.7,36.2,--------------------------------------------------------------
Brandin Podziemski,GSW,20,6,5,100,2.5,5.3,46.9,54.7,62.5,1.7,3.3,50.2,37.5,0.8,2.0,41.5,--------------------------------------------------------------
Julian Champagnie,SAS,22,6,6,100,1.3,5.3,25.0,31.3,46.9,0.7,2.5,26.8,53.1,0.7,2.8,23.7,--------------------------------------------------------------
Bismack Biyombo,MEM,31,6,5,100,2.8,5.2,54.8,54.8,100,2.8,5.2,54.7,0.0,0.0,0.0,-,--------------------------------------------------------------
Robert Williams III,POR,26,6,6,100,2.8,4.3,65.4,65.4,100,2.8,4.3,65.4,0.0,0.0,0.0,-,--------------------------------------------------------------
Jaylin Williams,OKC,21,6,6,100,1.3,3.8,34.8,43.5,34.8,0.7,1.3,50.4,65.2,0.7,2.5,26.8,--------------------------------------------------------------
Eugene Omoruyi,WAS,26,6,6,100,2.2,3.2,68.4,73.7,73.7,1.8,2.3,78.5,26.3,0.3,0.8,39.8,--------------------------------------------------------------
Mason Plumlee,LAC,33,6,6,100,2.0,3.2,63.2,63.2,100,2.0,3.2,63.1,0.0,0.0,0.0,-,--------------------------------------------------------------
Ryan Rollins,WAS,21,6,6,100,1.3,2.8,47.1,50.0,88.2,1.2,2.5,46.8,11.8,0.2,0.3,51.5,--------------------------------------------------------------
Colby Jones,SAC,21,6,3,100,1.3,2.8,47.1,50.0,76.5,1.2,2.2,53.9,23.5,0.2,0.7,25.4,--------------------------------------------------------------
